customer_state;Standard;customer_timezone
AC;UTC-4;America/Rio_Branco
AL;UTC-3;America/Maceio
AP;UTC-3;America/Belem
AM;UTC-4;America/Manaus
BA;UTC-3;America/Bahia
CE;UTC-3;America/Fortaleza
DF;UTC-3;America/Sao_Paulo
ES;UTC-3;America/Sao_Paulo
GO;UTC-3;America/Sao_Paulo
MA;UTC-3;America/Fortaleza
MT;UTC-4;America/Cuiaba
MS;UTC-4;America/Campo_Grande
MG;UTC-3;America/Sao_Paulo
PB;UTC-3;America/Fortaleza
PR;UTC-3;America/Sao_Paulo
PA;UTC-3;America/Belem
PE;UTC-2;America/Noronha
PI;UTC-3;America/Fortaleza
RJ;UTC-3;America/Sao_Paulo
RN;UTC-3;America/Fortaleza
RS;UTC-3;America/Sao_Paulo
RO;UTC-4;America/Porto_Velho
RR;UTC-4;America/Boa_Vista
SC;UTC-3;America/Sao_Paulo
SP;UTC-3;America/Sao_Paulo
SE;UTC-3;America/Maceio
TO;UTC-3;America/Araguaina
